name,label,catchment,river,situation,easting,northing,x,y
W Tulla 8,W Tulla 8 - Water of Tulla - d/s of railway bridge/ d/s of large pool.,river_awe,Water of Tulla,d/s of railway bridge/ d/s of large pool.,239671,748292,-4.613121,56.59902
W Tulla 9,"W Tulla 9 - Water of Tulla - Upper mainstem, braided riffle section 50m u/s of rail bridge.",river_awe,Water of Tulla,"Upper mainstem, braided riffle section 50m u/s of rail bridge.",240081,748361,-4.606493,56.599779
carraig gheal 17a,"carraig gheal 17a - Cam-Allt - small clearing amongst new CP, adj. to track laybe on LH side.",river_awe,Cam-Allt,"small clearing amongst new CP, adj. to track laybe on LH side.",200649,719351,-5.22559,56.324467
Clunie/020,Clunie/020 - Clunie Water - 60m below Cairnwell bridge,river_dee_grampian,Clunie Water,60m below Cairnwell bridge,314517,780649,-3.4054,56.909249
SEPA_501224,SEPA_501224 - Culter burn - c60m d/s from bridge. Fish from hedge below pipe up to rip rap on LHB,river_dee_grampian,Culter burn,c60m d/s from bridge. Fish from hedge below pipe up to rip rap on LHB,384016,800331,-2.265409,57.093678
SEPA_511638,SEPA_511638 - Culter burn - By dirt bike track. Fish from dead tree on RB up under arched willow tree to top of riffle,river_dee_grampian,Culter burn,By dirt bike track. Fish from dead tree on RB up under arched willow tree to top of riffle,382895,801296,-2.283974,57.102306
SEPA_459816,SEPA_459816 - River Devon - Glensherup Park (u/s bridge). Site starts 2m u/s bridge,river_devon,River Devon,Glensherup Park (u/s bridge). Site starts 2m u/s bridge,297237,705185,-3.659096,56.228069
Argyll_0191,Argyll_0191 - Glenshellish Burn - 50 m upstream of farm track bridge. Pipe crossing in mid site.,river_eachaig,Glenshellish Burn,50 m upstream of farm track bridge. Pipe crossing in mid site.,211075,697270,-5.041504,56.130637
Argyll_0229,Argyll_0229 - Allt nan Caorruinn - 300 m Upstream of forestry track stream crossing,river_eachaig,Allt nan Caorruinn,300 m Upstream of forestry track stream crossing,211086,692719,-5.038105,56.08981
Bala01a,Bala01a - Balagown Burn - 50m d/s of track bridge,river_eachaig,Balagown Burn,50m d/s of track bridge,213662,681956,-4.989281,55.994252
Bala02,Bala02 - Balagown Burn - 125m U/S of track bridge,river_eachaig,Balagown Burn,125m U/S of track bridge,213588,682048,-4.99053,55.995049
Bala02a,Bala02a - Balagown Burn - At lower bedrock steps,river_eachaig,Balagown Burn,At lower bedrock steps,213441,682233,-4.993012,55.996651
Bala03,Bala03 - Balagown Burn - U/s of bedrock steps,river_eachaig,Balagown Burn,U/s of bedrock steps,213179,682428,-4.997342,55.998299
Bala04,"Bala04 - Balagown Burn - Upper mainstem, 30m d/s of fork",river_eachaig,Balagown Burn,"Upper mainstem, 30m d/s of fork",212704,682803,-5.005208,56.001478
Bala05,Bala05 - Balagown Burn - Upper LH Trib.,river_eachaig,Balagown Burn,Upper LH Trib.,212554,682875,-5.00766,56.002066
Bala06,Bala06 - Balagown Burn - Upper RH Trib. u/s of old wooden bridge,river_eachaig,Balagown Burn,Upper RH Trib. u/s of old wooden bridge,212635,682798,-5.00631,56.001407
Coire Ealt site 1,"Coire Ealt site 1 - Coire Ealt - D/S of bend, at house",river_eachaig,Coire Ealt,"D/S of bend, at house",213572,695842,-5.000389,56.118806
Coire Ealt site 2,"Coire Ealt site 2 - Coire Ealt - U/S footbridge to pool, d/s of road bridge",river_eachaig,Coire Ealt,"U/S footbridge to pool, d/s of road bridge",213616,695776,-4.999637,56.118231
Coire Ealt site 3,Coire Ealt site 3 - Coire Ealt - 50m d/s of upper track crossing (intake),river_eachaig,Coire Ealt,50m d/s of upper track crossing (intake),214303,696034,-4.988783,56.120814
Craigbrack site 1,Craigbrack site 1 - Craigbrack burn - 5m u/s of shore to first footbridge,river_eachaig,Craigbrack burn,5m u/s of shore to first footbridge,213698,695516,-4.998138,56.115931
Craigbrack site 2,Craigbrack site 2 - Craigbrack burn - d/s of road culvert,river_eachaig,Craigbrack burn,d/s of road culvert,213721,695552,-4.997794,56.116263
Craigbrack site 3,Craigbrack site 3 - Craigbrack burn - u/s of track crossing,river_eachaig,Craigbrack burn,u/s of track crossing,214393,695720,-4.987119,56.118032
Curr 1,Curr 1 - River Curr - Downstream of Invernoaden road bridge,river_eachaig,River Curr,Downstream of Invernoaden road bridge,211900,697650,-5.028518,56.134372
Curr 3,Curr 3 - River Curr - Downstream of road bridge below bedrock section,river_eachaig,River Curr,Downstream of road bridge below bedrock section,209800,699750,-5.063757,56.15238
Curr 5,Curr 5 - River Curr - Upstream of track bridge. Cattlegrid to top of pool/glide.,river_eachaig,River Curr,Upstream of track bridge. Cattlegrid to top of pool/glide.,212000,701600,-5.029701,56.16985
Curr 6,"Curr 6 - River Curr - Upper Succoth, upstream of cattle feeder to bedrock falls",river_eachaig,River Curr,"Upper Succoth, upstream of cattle feeder to bedrock falls",213100,702400,-5.012574,56.177461
Eachaig1,"Eachaig1 - River Eachaig - D/S of footbridge, up to ford.",river_eachaig,River Eachaig,"D/S of footbridge, up to ford.",214256,684908,-4.981813,56.020969
Eachaig2,Eachaig2 - River Eachaig - From pipe below footbridge to above bridge.,river_eachaig,River Eachaig,From pipe below footbridge to above bridge.,214259,685553,-4.982212,56.026758
Glenshellish1,Glenshellish1 - Glenshellish Burn - 50m u/s of Allt Robuic confluence,river_eachaig,Glenshellish Burn,50m u/s of Allt Robuic confluence,210660,696541,-5.047653,56.123932
Invernoaden Burn,Invernoaden Burn - Invernoaden Burn - 10m u/s of road bridge,river_eachaig,Invernoaden Burn,10m u/s of road bridge,211994,697852,-5.02715,56.136221
Lit Each 3,"Lit Each 3 - Glen Lean, from birch tree on right bank to bend",river_eachaig,,"Glen Lean, from birch tree on right bank to bend",210660,681790,-5.037223,55.991587
Massan 3,Massan 3 - 500m upstream of Garracher House. Downstream of bend where track meetsthe river,river_eachaig,,500m upstream of Garracher House. Downstream of bend where track meetsthe river,208900,688950,-5.070493,56.055127
Masson 2,Masson 2 - Stonefield. Downstream of farm from ditch on LB to frnce post on RB,river_eachaig,,Stonefield. Downstream of farm from ditch on LB to frnce post on RB,212000,686450,-5.019035,56.033924
Stron 1,Stron 1 - 5m upstream of main road A880 bridge,river_eachaig,,5m upstream of main road A880 bridge,219200,684450,-4.902295,56.01875
Stron 2,Stron 2 - Downstream of lower field boundary,river_eachaig,,Downstream of lower field boundary,219100,684500,-4.903931,56.019161
Stron 3,Stron 3 - 50m upstream of ruin on right bank from right hand bend,river_eachaig,,50m upstream of ruin on right bank from right hand bend,219000,684650,-4.905634,56.020469
Stron 4,Stron 4 - Midway upstream in mainstem,river_eachaig,,Midway upstream in mainstem,217400,685100,-4.931574,56.0239
Stron 5,"Stron 5 - Upper mainstem, upstream of tributary",river_eachaig,,"Upper mainstem, upstream of tributary",218100,685000,-4.92029,56.023269
Stron 6,Stron 6 - Downstream of Allt Teanga a Bhealaich tributary stream,river_eachaig,,Downstream of Allt Teanga a Bhealaich tributary stream,217100,684950,-4.936278,56.02244
Stron 7,Stron 7 - 100m upstream of confluence,river_eachaig,,100m upstream of confluence,217050,685050,-4.937148,56.023318
Kendrum01,Kendrum01 - Kendrum Burn - Kendrum Burn - D/S of bridge.,river_earn,Kendrum Burn,Kendrum Burn - D/S of bridge.,258140,722115,-4.298326,56.369991
Kendrum02,Kendrum02 - Kendrum Burn - Kendrum Burn - U/S of overhead powerline crossing,river_earn,Kendrum Burn,Kendrum Burn - U/S of overhead powerline crossing,257992,722115,-4.30072,56.369946
Kendrum04,"Kendrum04 - Kendrum Burn - Kendrum Burn - U/S of waterfall, d/s corner.",river_earn,Kendrum Burn,"Kendrum Burn - U/S of waterfall, d/s corner.",257420,722592,-4.310232,56.374056
Allt Cam Ghlinne 01,Allt Cam Ghlinne 01 - Allt Cam Ghlinne - Upstream of tree on right bank,river_etive,Allt Cam Ghlinne,Upstream of tree on right bank,224016,753710,-4.871462,56.642019
Allt Ceitlein 01,Allt Ceitlein 01 - River Etive - Downstream of building,river_etive,River Etive,Downstream of building,214752,747757,-5.018036,56.585039
Allt Charnan 01,Allt Charnan 01 - Allt Charnan - At bottom of field on right bank,river_etive,Allt Charnan,At bottom of field on right bank,214529,748211,-5.021986,56.589024
Allt Fhaolain 01,Allt Fhaolain 01 - Allt Fhaolain - Right bank channel of braided section,river_etive,Allt Fhaolain,Right bank channel of braided section,215729,750565,-5.004152,56.610616
Allt Gaoirean 01,Allt Gaoirean 01 - Allt nan Gaoirean - Site is located downstream of footbridge directly across field from old Schoolhouse building.,river_etive,Allt nan Gaoirean,Site is located downstream of footbridge directly across field from old Schoolhouse building.,214300,747452,-5.025165,56.582124
Allt Gartain 01,Allt Gartain 01 - Allt Gartain - 60m downstream of road bridge,river_etive,Allt Gartain,60m downstream of road bridge,217100,751400,-4.982438,56.618644
Allt Mheuran,Allt Mheuran - Allt Mheuran - Adjacent to fording point,river_etive,Allt Mheuran,Adjacent to fording point,213509,746115,-5.037061,56.569816
Allt a Bhiorain 02,Allt a Bhiorain 02 - Allt a Bhiorain - 20 m downstream of road bridge,river_etive,Allt a Bhiorain,20 m downstream of road bridge,211359,745521,-5.071567,56.563628
Dalach01,Dalach01 - Abhainn Dalach - RH & LH channel of first braid - lower mainstream,river_etive,Abhainn Dalach,RH & LH channel of first braid - lower mainstream,205795,738895,-5.15701,56.501923
Dalach01a,Dalach01a - Abhainn Dalach - Riffle u/s of lower bedrock & swing bridge - u/s of bend pool,river_etive,Abhainn Dalach,Riffle u/s of lower bedrock & swing bridge - u/s of bend pool,205608,738962,-5.160093,56.502447
Dalach02,"Dalach02 - Abhainn Dalach - middle mainstream, d/s of track",river_etive,Abhainn Dalach,"middle mainstream, d/s of track",205604,739189,-5.160327,56.504482
Dalach03,Dalach03 - Abhainn Dalach,river_etive,Abhainn Dalach,,205149,739922,-5.168257,56.510868
Dalach04,Dalach04 - Abhainn Dalach - Upper mainstream - 40m d/s of FC deer fence.,river_etive,Abhainn Dalach,Upper mainstream - 40m d/s of FC deer fence.,204800,740050,-5.174015,56.511872
Dalach05,Dalach05 - Abhainn Dalach - Upper mainstream - RH braid u/s of old ruin.,river_etive,Abhainn Dalach,Upper mainstream - RH braid u/s of old ruin.,204461,740280,-5.179687,56.513794
Easach01,Easach01 - Allt Easach,river_etive,Allt Easach,,207025,739387,-5.137424,56.506842
Easach02,Easach02 - Allt Easach - Lower mainstream - u/s of lower bedrock section,river_etive,Allt Easach,Lower mainstream - u/s of lower bedrock section,206918,739376,-5.139151,56.5067
Etive 01,"Etive 01 - River Etive - Lower Mainstream, RH braid riffle.",river_etive,River Etive,"Lower Mainstream, RH braid riffle.",212901,745744,-5.046674,56.566246
Etive 02,Etive 02 - River Etive - Lower mainstream - RB riffle up to Allt nan Gouirean confluence.,river_etive,River Etive,Lower mainstream - RB riffle up to Allt nan Gouirean confluence.,214416,747396,-5.02324,56.581668
Etive 03,Etive 03 - Allt nan Gaoirean - Opposite school house d/s of foot bridge.,river_etive,Allt nan Gaoirean,Opposite school house d/s of foot bridge.,214200,747500,-5.026825,56.582515
Etive 04,"Etive 04 - River Etive - Middle mainstem, u/s of Allt Charnan, RB riffle",river_etive,River Etive,"Middle mainstem, u/s of Allt Charnan, RB riffle",214740,748036,-5.01843,56.587537
Etive 05,Etive 05 - Allt Charnan - Next to bottom corner of field,river_etive,Allt Charnan,Next to bottom corner of field,214533,748214,-5.021924,56.589052
Etive 06,Etive 06 - River Etive - Middle mainstem - on bend adjacent to RB confluence. RB riffle on bed where RB path joins river.,river_etive,River Etive,Middle mainstem - on bend adjacent to RB confluence. RB riffle on bed where RB path joins river.,215541,750001,-5.006808,56.605482
Etive 07,Etive 07 - River Etive - Middle mainstem u/s of RB trib,river_etive,River Etive,Middle mainstem u/s of RB trib,216663,750906,-4.989199,56.614041
Etive 34,Etive 34 - River Etive,river_etive,River Etive,,226200,755000,-4.836766,56.65441
Etive 35,Etive 35,river_etive,,,228300,756000,-4.803223,56.664158
Etive 36,Etive 36 - Alongside long straight on road  with a grazed bank and raised moraine step alongside,river_etive,,Alongside long straight on road  with a grazed bank and raised moraine step alongside,228100,755600,-4.806215,56.660496
Etive 37,Etive 37 - 100 m upstream right fork from confluence by road leading to black Corries Lodge.,river_etive,,100 m upstream right fork from confluence by road leading to black Corries Lodge.,228000,755100,-4.80751,56.655972
Etive 38,Etive 38,river_etive,,,225900,754400,-4.841248,56.648915
Etive 40,Etive 40,river_etive,,,224200,754300,-4.868868,56.647382
Etive 41,Etive 41 - 10m upstream from confluence with Coupall River on mainstem of River Etive.,river_etive,,10m upstream from confluence with Coupall River on mainstem of River Etive.,224500,754300,-4.863982,56.647495
Liver 01,Liver 01 - Liver - d/s of ford,river_etive,Liver,d/s of ford,206412,735789,-5.144694,56.474315
Liver 02,Liver 02 - Liver - Start at watergate at Bridge,river_etive,Liver,Start at watergate at Bridge,206487,735713,-5.143422,56.473664
Liver 03,Liver 03 - Liver - Wooded gorge section - large RB boulder at u/s point,river_etive,Liver,Wooded gorge section - large RB boulder at u/s point,207248,735436,-5.130883,56.471491
Liver 04,"Liver 04 - Liver - Start u/s of bedrock cliff, pool at LB trip confluence.",river_etive,Liver,"Start u/s of bedrock cliff, pool at LB trip confluence.",208315,735189,-5.113408,56.469711
Liver 05,"Liver 05 - Liver - d/s of falls, start at LWD both banks up to LB trib confluence",river_etive,Liver,"d/s of falls, start at LWD both banks up to LB trib confluence",208898,735140,-5.103923,56.469508
Liver 06,Liver 06 - Liver - 20m left hand fork,river_etive,Liver,20m left hand fork,209301,735128,-5.097383,56.469564
R. Etive46,R. Etive46,river_etive,,,214500,748300,-5.022522,56.589811
R. Etive64,R. Etive64 - 30m upstream from ford in riffle section.,river_etive,,30m upstream from ford in riffle section.,213500,746100,-5.037197,56.569678
R.Etive39,R.Etive39,river_etive,,,222200,756200,-4.902752,56.663674
R.Etive42,R.Etive42,river_etive,,,219600,750900,-4.941406,56.615127
R.Etive44,R.Etive44,river_etive,,,216500,750900,-4.991847,56.613924
R.EtiveAMS02,R.EtiveAMS02 - approximately 50m downstream of wooden bridge over the Glen Ceitlen Burn.,river_etive,,approximately 50m downstream of wooden bridge over the Glen Ceitlen Burn.,214700,747800,-5.018912,56.585404
CARN01,CARN01 - Carnachy Burn - Upstream of road bridge next to trees.,river_naver,Carnachy Burn,Upstream of road bridge next to trees.,272132,951425,-4.191588,58.432367
ALM2,ALM2 - Almond,river_tay,Almond,,288803,731461,-3.806179,56.462122
BRE1,BRE1 - Brerechan Burn - Just u/s of bridge on the Moulin - Kirmichael road where the stream comes close to road and bends away from it.,river_tay,Brerechan Burn,Just u/s of bridge on the Moulin - Kirmichael road where the stream comes close to road and bends away from it.,300454,763355,-3.629479,56.751142
ERR1,ERR1 - River Errochty,river_tay,River Errochty,,278070,763800,-3.995506,56.749818
ERR3,ERR3 - River Errochty,river_tay,River Errochty,,276600,763700,-4.019479,56.748533
FIL2,FIL2 - River Fillan - Kirkton Bridge. Start point is 3 metre u/s of pipe above bridge (left bank).,river_tay,River Fillan,Kirkton Bridge. Start point is 3 metre u/s of pipe above bridge (left bank).,235800,728100,-4.663352,56.416474
GAR1a,GAR1a - River Garry - Suspension Bridge (edge of river),river_tay,River Garry,Suspension Bridge (edge of river),283883,765786,-3.901409,56.769134
GBEG1,GBEG1 - Allt a Ghlinne Bhig,river_tay,Allt a Ghlinne Bhig,,311274,770445,-3.455073,56.817001
Glamis1,"Glamis1 - Glamis Burn - Just below bridge at pinetum, Glamis Castle",river_tay,Glamis Burn,"Just below bridge at pinetum, Glamis Castle",338904,748234,-2.997256,56.621952
KEI1,KEI1 - Keithick Burn - Site is ca 20 metres u/s of wee road bridge. Top end is site ends 16 m d/s of weir,river_tay,Keithick Burn,Site is ca 20 metres u/s of wee road bridge. Top end is site ends 16 m d/s of weir,319380,738560,-3.312331,56.532109
KER1,"KER1 - Kerbet Burn - Just u/s of Douglastown, where track in field comes adjacent to bend in stream",river_tay,Kerbet Burn,"Just u/s of Douglastown, where track in field comes adjacent to bend in stream",341600,747000,-2.953049,56.611212
LUN1,LUN1 - Lunan Water - Situated just below cattle drink at Millbank. Top end of site is 5 m d/s from field gate (river side of field),river_tay,Lunan Water,Situated just below cattle drink at Millbank. Top end of site is 5 m d/s from field gate (river side of field),318078,740050,-3.333963,56.545266
LYO6,LYO6 - River Lyon,river_tay,River Lyon,,254800,745900,-4.365601,56.58248
LYO8,LYO8 - River Lyon - Kenknock. By Ford. Site starts 2 m d/s of ford on left bank and follow the line of the river across,river_tay,River Lyon,Kenknock. By Ford. Site starts 2 m d/s of ford on left bank and follow the line of the river across,252486,743037,-4.401607,56.556059
LYO9,"LYO9 - River Lyon - Stronuich Ford. Site is d/s of the dam by Stronuich Ford and starts 10 m d/s of backwater, across from big boulder on right bank",river_tay,River Lyon,"Stronuich Ford. Site is d/s of the dam by Stronuich Ford and starts 10 m d/s of backwater, across from big boulder on right bank",251554,742286,-4.416326,56.549025
ORD4,ORD4 - Ordie Burn,river_tay,Ordie Burn,,307100,733550,-3.510116,56.484847
SHO1a,SHO1a - Shochie Burn,river_tay,Shochie Burn,,306733,729725,-3.514704,56.450423
SHO2,SHO2 - Shochie Burn,river_tay,Shochie Burn,,299960,733818,-3.626108,56.48579
TUM2,TUM2 - Tummel - Dams downstream at Faskally & Clunie,river_tay,Tummel,Dams downstream at Faskally & Clunie,275468,759373,-4.035875,56.709385
Tum1,Tum1 - Tummel - Clunie,river_tay,Tummel,Clunie,290543,760040,-3.790051,56.719153
A105A,A105A - 50m downstream from B840 roadbridge,unknown,,50m downstream from B840 roadbridge,199500,713600,-5.239766,56.272396
A141T2B,A141T2B - Upstream of roadbridge,unknown,,Upstream of roadbridge,208400,721200,-5.101795,56.344252
A141T2C,A141T2C - Upstream of falls,unknown,,Upstream of falls,208300,721200,-5.103411,56.344211
A90,A90 - Downstream of road bridge,unknown,,Downstream of road bridge,195800,708100,-5.295168,56.221487
A90A,"A90A - At Durran, site is located immediately upstream from the roadbridge",unknown,,"At Durran, site is located immediately upstream from the roadbridge",195900,708100,-5.293558,56.22153
